onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
3.7772	0	act	0.44	7	left	cor	0.52	2.94
13.0376	0	act	0.44	7	left	cor	0.77	3.54
22.515	0	act	0.42	6	left	cor	0.62	3.54
31.8602	0	act	0.42	6	right	cor	0.7	2.18
41.4166	0	act-bad	0.52	5	right	cor	0.72	2.54
50.937	0	act	0.36	5	left	cor	0.29	2.2
60.3164	0	act	0.34	4	right	cor	0.77	3.54
70.0568	0	act-bad	0.72	4	right	cor	0.5	3.8
79.7142	0	act	0.36	3	right	err	0.74	1.3
89.6366	0	act	0.46	4	right	err	0.4	2.78
99.476	0	act	0.32	5	right	cor	0.86	1.72
109.2582	0	act	0.46	5	right	cor	0.7	2.2
123.134	0	obs	0.44	7	left	cor	0.7	0.58
132.6152	0	obs-bad	0.72	4	right	cor	0.82	1.14
142.2758	0	obs	0.46	4	right	err	0.51	2.56
152.1152	0	obs	0.44	7	left	cor	0.51	1.02
161.3744	0	obs	0.46	5	right	cor	0.75	2.3
171.255	0	obs	0.42	6	left	cor	0.72	2.24
180.5944	0	obs	0.36	5	left	cor	0.49	1.8
189.9746	0	obs	0.32	5	right	cor	0.55	1.1
199.752	0	obs	0.36	3	right	err	0.5	1.78
209.6724	0	obs-bad	0.52	5	right	cor	0.49	3
219.1918	0	obs	0.42	6	right	cor	0.53	2.52
228.7522	0	obs	0.34	4	right	cor	0.4	1.18
242.4914	0	act-bad	0.52	4	left	cor	0.61	4.02
251.613	0	act	0.48	4	left	err	0.66	2.92
261.0534	0	act	0.4	5	left	cor	0.75	1.5
270.0526	0	act	0.36	5	right	cor	0.68	2.16
279.673	0	act	0.36	4	left	cor	0.76	1.12
288.9724	0	act	0.5	4	left	err	0.74	1.08
298.0158	0	act	0.5	5	right	cor	0.9	3.4
307.7122	0	act-bad	0.68	5	left	cor	0.63	3.26
316.9326	0	act	0.42	4	left	err	0.72	3.04
326.0948	0	act	0.36	5	right	cor	0.5	2.6
336.0544	0	act	0.44	5	left	cor	0.6	2
345.1346	0	act	0.34	4	right	cor	0.64	0.7
359.1514	0	obs	0.44	5	left	cor	0.93	2.66
368.2318	0	obs	0.42	4	left	err	0.63	2.86
377.391	0	obs	0.5	4	left	err	0.58	0.76
386.4294	0	obs	0.34	4	right	cor	0.39	1.2
396.454	0	obs	0.36	4	left	cor	0.77	1.14
405.7482	0	obs	0.36	5	right	cor	0.48	1.76
415.3706	0	obs	0.48	4	left	err	0.43	0.72
424.8078	0	obs	0.36	5	right	cor	0.89	3.38
434.7704	0	obs	0.5	5	right	cor	0.88	3.36
444.4698	0	obs	0.4	5	left	cor	0.79	1.58
453.4732	0	obs-bad	0.52	4	left	cor	0.78	1.22
462.5894	0	obs-bad	0.68	5	left	cor	0.82	3.64
